Name                    = Alexandr Carriere
Number                  = 76
Face                    = Mathieu
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 96
Shot Power              = 109
Accuracy                = 108
Checking                = 111
Talents                 = Onepunch, knightAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 255, 184, 28
Gloves Color            = 4, 30, 66
Helmet Color            = 255, 184, 28
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
