Name                    = Stevan Stamkoss
Number                  = 91
Face                    = Mathieu
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 107
Shot Power              = 124
Accuracy                = 124
Checking                = 91
Talents                 = Fury Stick, Pass Back, karlsonBehavior
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 255, 184, 28
Gloves Color            = 4, 30, 66
Helmet Color            = 255, 184, 28
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
