Name                    = Jakub Markstromm
Skill                   = 52
Catching                = 54
Glove                   = 56
Blocker                 = 50
Five Hole               = 49
Standing Speed          = 49
Butterfly Speed         = 47
Control                 = 52
Recovery                = 54
Pass Power              = 44
Shot Power              = 40
Poke Check              = 40
Depth                   = 47
Pass Read               = 0.50
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
