Name                    = Douglass Hamiltone
Number                  = 7
Face                    = Bench_Kirby
Left Handed             = yes
Skin Color              = light
Size                    = ExtraExtraBig
Speed                   = 106
Shot Power              = 129
Accuracy                = 123
Checking                = 105
Talents                 = The Howitzer, Sword
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
