Name                    = Jak Hughess
Number                  = 86
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 139
Shot Power              = 119
Accuracy                = 133
Checking                = 69
Talents                 = Puck Rocket, tornadoAI, Hidden Ace
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 0, 0, 0
Helmet Color            = 206, 17, 38
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
