Name                    = Quinten Byfieldd
Number                  = 11
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 109
Shot Power              = 123
Accuracy                = 123
Checking                = 117
Talents                 = Tong (Level 2), En Garde!, ImperviousOnPass, Hidden Ace
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 17, 17, 17
Gloves Color            = 162, 170, 173
Helmet Color            = 17, 17, 17
Pants Color             = 162, 170, 173
Skates Color            = 162, 170, 173
