Name                    = Darcey Kuemperr
Skill                   = 64
Catching                = 65
Glove                   = 67
Blocker                 = 62
Five Hole               = 62
Standing Speed          = 46
Butterfly Speed         = 45
Control                 = 44
Recovery                = 45
Pass Power              = 38
Shot Power              = 36
Poke Check              = 36
Depth                   = 41
Pass Read               = 0.45
Goalie Talents          = Always Catch Pucks, Goalie Speed Talent, Goalie Headshot, Goalie Pass Rebound, Goalie Pass Propel, Goalie Dance
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
