Name                    = Dreww Doughtey
Number                  = 8
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 115
Shot Power              = 121
Accuracy                = 121
Checking                = 121
Talents                 = Homewrecker, Human Shield, Velcro, Enraged, Feed, Enrage On Shot, Poke Rage
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 17, 17, 17
Gloves Color            = 162, 170, 173
Helmet Color            = 17, 17, 17
Pants Color             = 162, 170, 173
Skates Color            = 162, 170, 173
