Name                    = Adriaan Kemppe
Number                  = 10
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 135
Shot Power              = 125
Accuracy                = 133
Checking                = 84
Talents                 = Flawless Feeder (Level 2), Power Transfer, Puck Rocket
Ability                 = jump
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 17, 17, 17
Gloves Color            = 162, 170, 173
Helmet Color            = 17, 17, 17
Pants Color             = 162, 170, 173
Skates Color            = 162, 170, 173
