Name                    = Mikal Andersone
Number                  = 72
Face                    = Spark
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 123
Shot Power              = 121
Accuracy                = 121
Checking                = 111
Talents                 = Homewrecker, Human Shield, Velcro, Triple Twig
Ability                 = throwingStick
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 17, 17, 17
Gloves Color            = 162, 170, 173
Helmet Color            = 17, 17, 17
Pants Color             = 162, 170, 173
Skates Color            = 162, 170, 173
