Name                    = Anzei Kopitarr
Number                  = 55
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 123
Shot Power              = 127
Accuracy                = 125
Checking                = 118
Talents                 = Onepunch, Scrambled, Charge Shot (Level 2), marauder, Ball Chaser
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 17, 17, 17
Gloves Color            = 162, 170, 173
Helmet Color            = 17, 17, 17
Pants Color             = 162, 170, 173
Skates Color            = 162, 170, 173
