Name                    = Leeo Carlssonn
Number                  = 56
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 136
Shot Power              = 140
Accuracy                = 142
Checking                = 110
Talents                 = Fury Stick, Anchor, Musical Nets, ImperviousOnPass, Ping King
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 76, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 76, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
