Name                    = Johnn Gibsonn
Skill                   = 58
Catching                = 60
Glove                   = 61
Blocker                 = 56
Five Hole               = 55
Standing Speed          = 45
Butterfly Speed         = 44
Control                 = 58
Recovery                = 60
Pass Power              = 47
Shot Power              = 43
Poke Check              = 44
Depth                   = 49
Pass Read               = 0.65
Goalie Talents          = Goalie Fart
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
