Name                    = Pavell Mintyukove
Number                  = 7
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 110
Shot Power              = 119
Accuracy                = 115
Checking                = 142
Talents                 = Onepunch, Chexplosion, marauder, Homewrecker, Heavy Helmet
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 76, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 76, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
