Name                    = Troi Terrey
Number                  = 36
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 126
Shot Power              = 136
Accuracy                = 133
Checking                = 117
Talents                 = Feed, Avenge Me! (Level 2), Porcelain Hammer, Scrambled, Poke Rage
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 76, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 76, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
