Name                    = Olenn Zellwegger
Number                  = 46
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Small
Speed                   = 140
Shot Power              = 123
Accuracy                = 129
Checking                = 92
Talents                 = Board Bumper, Puckless Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 76, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 76, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
