Name                    = Masone McTavvish
Number                  = 10
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 130
Shot Power              = 130
Accuracy                = 133
Checking                = 106
Talents                 = Mega Deflect (Level 2), Redirector
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 252, 76, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 252, 76, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
