Name                    = Barret Haytonne
Number                  = 92
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 148
Shot Power              = 146
Accuracy                = 148
Checking                = 109
Talents                 = Changeup, Puck Rocket, Trick Shot
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 42, 92
Gloves Color            = 105, 179, 231
Helmet Color            = 0, 42, 92
Pants Color             = 105, 179, 231
Skates Color            = 105, 179, 231
