Name                    = Karell Vejmelkka
Skill                   = 60
Catching                = 61
Glove                   = 63
Blocker                 = 58
Five Hole               = 57
Standing Speed          = 49
Butterfly Speed         = 47
Control                 = 60
Recovery                = 61
Pass Power              = 47
Shot Power              = 43
Poke Check              = 44
Depth                   = 50
Pass Read               = 0.55
Goalie Talents          = Goalie Enraged On Goal
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
