Name                    = Juusso Valimakki
Number                  = 28
Face                    = Spark
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 119
Shot Power              = 124
Accuracy                = 121
Checking                = 146
Talents                 = Safety First, Anchor, Board Bumper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 42, 92
Gloves Color            = 105, 179, 231
Helmet Color            = 0, 42, 92
Pants Color             = 105, 179, 231
Skates Color            = 105, 179, 231
