Name                    = Clayten Kellerr
Number                  = 53
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 134
Shot Power              = 131
Accuracy                = 129
Checking                = 124
Talents                 = Scrambled, Puck Rocket, Charge Shot
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 42, 92
Gloves Color            = 105, 179, 231
Helmet Color            = 0, 42, 92
Pants Color             = 105, 179, 231
Skates Color            = 105, 179, 231
