Name                    = Mattheu Barzell
Number                  = 13
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 173
Shot Power              = 139
Accuracy                = 156
Checking                = 91
Talents                 = Velcro, En Garde!, Crit Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 83, 155
Gloves Color            = 244, 125, 48
Helmet Color            = 0, 83, 155
Pants Color             = 244, 125, 48
Skates Color            = 244, 125, 48
