Name                    = Illya Sorokinn
Skill                   = 57
Catching                = 62
Glove                   = 63
Blocker                 = 56
Five Hole               = 54
Standing Speed          = 56
Butterfly Speed         = 54
Control                 = 60
Recovery                = 62
Pass Power              = 48
Shot Power              = 44
Poke Check              = 51
Depth                   = 57
Pass Read               = 0.36
Goalie Talents          = Crease Clearer
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
