Name                    = Adaam Peleck
Number                  = 3
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 128
Shot Power              = 119
Accuracy                = 119
Checking                = 139
Talents                 = Sonic Interception, Spiked Armor
Ability                 = Headshot Redirect
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 83, 155
Gloves Color            = 244, 125, 48
Helmet Color            = 0, 83, 155
Pants Color             = 244, 125, 48
Skates Color            = 244, 125, 48
