Name                    = Andres Leee
Number                  = 27
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 108
Shot Power              = 147
Accuracy                = 139
Checking                = 153
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 83, 155
Gloves Color            = 244, 125, 48
Helmet Color            = 0, 83, 155
Pants Color             = 244, 125, 48
Skates Color            = 244, 125, 48
