Name                    = Matthias Schaeferr
Number                  = 5
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 160
Shot Power              = 139
Accuracy                = 139
Checking                = 120
Talents                 = Flawless Feeder
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 83, 155
Gloves Color            = 244, 125, 48
Helmet Color            = 0, 83, 155
Pants Color             = 244, 125, 48
Skates Color            = 244, 125, 48
