Name                    = Boo Horvatt
Number                  = 14
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 143
Shot Power              = 156
Accuracy                = 147
Checking                = 128
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 83, 155
Gloves Color            = 244, 125, 48
Helmet Color            = 0, 83, 155
Pants Color             = 244, 125, 48
Skates Color            = 244, 125, 48
