Name                    = Zaach Hymand
Number                  = 97
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 191
Shot Power              = 170
Accuracy                = 183
Checking                = 110
Talents                 = Flawless Feeder, Quick Draw, Blue Line Boost (Level 2), XRay Shot (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 252, 76, 2
Helmet Color            = 4, 30, 66
Pants Color             = 252, 76, 2
Skates Color            = 252, 76, 2
