Name                    = Stuard Skinnerr
Skill                   = 58
Catching                = 62
Glove                   = 58
Blocker                 = 55
Five Hole               = 52
Standing Speed          = 81
Butterfly Speed         = 75
Control                 = 57
Recovery                = 65
Pass Power              = 44
Shot Power              = 41
Poke Check              = 38
Depth                   = 54
Pass Read               = 0.43
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
