Name                    = Evann Boucharde
Number                  = 14
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 123
Shot Power              = 140
Accuracy                = 136
Checking                = 157
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 252, 76, 2
Helmet Color            = 4, 30, 66
Pants Color             = 252, 76, 2
Skates Color            = 252, 76, 2
