Name                    = Konnor MacDonald
Number                  = 29
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 140
Shot Power              = 157
Accuracy                = 153
Checking                = 115
Talents                 = Quick Draw
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 252, 76, 2
Helmet Color            = 4, 30, 66
Pants Color             = 252, 76, 2
Skates Color            = 252, 76, 2
