Name                    = Darnelle Nursey
Number                  = 2
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 136
Shot Power              = 144
Accuracy                = 144
Checking                = 98
Talents                 = Point Sniper (Level 2), The Howitzer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 252, 76, 2
Helmet Color            = 4, 30, 66
Pants Color             = 252, 76, 2
Skates Color            = 252, 76, 2
