Name                    = Leoni Draisaitel
Number                  = 18
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 147
Shot Power              = 147
Accuracy                = 143
Checking                = 122
Talents                 = Cherry Picker
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 252, 76, 2
Helmet Color            = 4, 30, 66
Pants Color             = 252, 76, 2
Skates Color            = 252, 76, 2
