Name                    = Seann Monahann
Number                  = 11
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 172
Shot Power              = 156
Accuracy                = 161
Checking                = 129
Talents                 = Puck Rocket
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 38, 84
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
