Name                    = Elviss Merzlikens
Skill                   = 62
Catching                = 65
Glove                   = 66
Blocker                 = 60
Five Hole               = 58
Standing Speed          = 62
Butterfly Speed         = 60
Control                 = 62
Recovery                = 65
Pass Power              = 54
Shot Power              = 50
Poke Check              = 50
Depth                   = 58
Pass Read               = 0.45
Goalie Talents          = Goalie Speed Talent
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
