Name                    = Zaach Werensky
Number                  = 8
Face                    = Mathieu
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 161
Shot Power              = 161
Accuracy                = 156
Checking                = 112
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 38, 84
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
