Name                    = Kirilll Marchenkov
Number                  = 86
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 157
Shot Power              = 164
Accuracy                = 161
Checking                = 123
Talents                 = Blue Line Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 38, 84
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
