Name                    = Jaake Christianson
Number                  = 45
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 146
Shot Power              = 131
Accuracy                = 137
Checking                = 130
Talents                 = Board Bumper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 38, 84
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
