Name                    = Dmitrii Voronkove
Number                  = 29
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 121
Shot Power              = 207
Accuracy                = 188
Checking                = 99
Talents                 = Crit Boost, Escalating Crit, Point Sniper (Level 2), Glass Cannon, Charge Shot (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 38, 84
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 38, 84
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
