Name                    = Patrik Kanee
Number                  = 23
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 183
Shot Power              = 159
Accuracy                = 174
Checking                = 95
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 255, 255, 255
Helmet Color            = 206, 17, 38
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
