Name                    = Villee Hussoe
Skill                   = 61
Catching                = 65
Glove                   = 68
Blocker                 = 61
Five Hole               = 59
Standing Speed          = 64
Butterfly Speed         = 61
Control                 = 64
Recovery                = 68
Pass Power              = 57
Shot Power              = 53
Poke Check              = 53
Depth                   = 64
Pass Read               = 0.46
Goalie Talents          = Goalie Pass Propel
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
