Name                    = Morits Seiderr
Number                  = 53
Face                    = Mathieu
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 149
Shot Power              = 159
Accuracy                = 155
Checking                = 159
Talents                 = Onepunch, Spiked Armor
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 255, 255, 255
Helmet Color            = 206, 17, 38
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
