Name                    = Lukas Raymondd
Number                  = 12
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraSmall
Speed                   = 183
Shot Power              = 174
Accuracy                = 187
Checking                = 66
Talents                 = Crit Boost, Deadzone
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 255, 255, 255
Helmet Color            = 206, 17, 38
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
