Name                    = Benn Chiarott
Number                  = 3
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 154
Shot Power              = 155
Accuracy                = 150
Checking                = 150
Talents                 = Supernova Talent
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 255, 255, 255
Helmet Color            = 206, 17, 38
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
