Name                    = Dylann Larkinn
Number                  = 71
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 177
Shot Power              = 168
Accuracy                = 168
Checking                = 128
Talents                 = Speed Transfer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 206, 17, 38
Gloves Color            = 255, 255, 255
Helmet Color            = 206, 17, 38
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
