Name                    = Alexi Pietrangello
Number                  = 27
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 166
Shot Power              = 172
Accuracy                = 178
Checking                = 132
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 51, 63, 72
Gloves Color            = 185, 151, 91
Helmet Color            = 51, 63, 72
Pants Color             = 185, 151, 91
Skates Color            = 185, 151, 91
