Name                    = Jak Eichell
Number                  = 61
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 115
Shot Power              = 138
Accuracy                = 149
Checking                = 183
Talents                 = BoneCrusher (Level 2), Built Different
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 51, 63, 72
Gloves Color            = 185, 151, 91
Helmet Color            = 51, 63, 72
Pants Color             = 185, 151, 91
Skates Color            = 185, 151, 91
