Name                    = Sheaa Theodoree
Number                  = 3
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 136
Shot Power              = 149
Accuracy                = 144
Checking                = 138
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 51, 63, 72
Gloves Color            = 185, 151, 91
Helmet Color            = 51, 63, 72
Pants Color             = 185, 151, 91
Skates Color            = 185, 151, 91
