Name                    = Markk Stoone
Number                  = 16
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Small
Speed                   = 217
Shot Power              = 166
Accuracy                = 228
Checking                = 48
Talents                 = Flawless Feeder, Blue Line Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 51, 63, 72
Gloves Color            = 185, 151, 91
Helmet Color            = 51, 63, 72
Pants Color             = 185, 151, 91
Skates Color            = 185, 151, 91
