Name                    = Dylann Strohme
Number                  = 17
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 155
Shot Power              = 169
Accuracy                = 166
Checking                = 149
Talents                 = Flawless Feeder (Level 2), Power Transfer
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 4, 30, 66
Helmet Color            = 200, 16, 46
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
