Name                    = Logann Thompsone
Skill                   = 82
Catching                = 84
Glove                   = 84
Blocker                 = 81
Five Hole               = 81
Standing Speed          = 58
Butterfly Speed         = 57
Control                 = 57
Recovery                = 58
Pass Power              = 48
Shot Power              = 43
Poke Check              = 44
Depth                   = 52
Pass Read               = 0.46
Goalie Talents          = Always Catch Pucks, Goalie Enraged On Shot, Goalie Headshot, Goalie Throw Stick
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
