Name                    = Alexi Ovechko
Number                  = 8
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 155
Shot Power              = 205
Accuracy                = 200
Checking                = 166
Talents                 = The Howitzer, Charge Shot (Level 2), Sonic Slap (Level 2), Deadzone, Quick Draw (Level 2), Hidden Ace, Avenge Me! (Level 2), Bouncy McBounce, Rebound Magnet (Level 2), Fast Rebound
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 4, 30, 66
Helmet Color            = 200, 16, 46
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
