Name                    = Mattheu Roye
Number                  = 3
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 158
Shot Power              = 155
Accuracy                = 155
Checking                = 158
Talents                 = Human Shield, Defensive Deflect (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 4, 30, 66
Helmet Color            = 200, 16, 46
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
