Name                    = Tomm Wilsone
Number                  = 43
Face                    = Spark
Left Handed             = no
Skin Color              = light
Size                    = ExtraBig
Speed                   = 158
Shot Power              = 172
Accuracy                = 164
Checking                = 181
Talents                 = Onepunch, marauder, Enraged, Porcelain Hammer, Explosion On Landing
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 4, 30, 66
Helmet Color            = 200, 16, 46
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
