Name                    = Joshy Norriss
Number                  = 18
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 195
Shot Power              = 184
Accuracy                = 187
Checking                = 132
Talents                 = Backward Turbo, Propeller Helmet
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 200, 16, 46
Helmet Color            = 0, 0, 0
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
