Name                    = Antoln Forsberge
Skill                   = 71
Catching                = 74
Glove                   = 76
Blocker                 = 69
Five Hole               = 69
Standing Speed          = 61
Butterfly Speed         = 59
Control                 = 71
Recovery                = 74
Pass Power              = 61
Shot Power              = 57
Poke Check              = 57
Depth                   = 65
Pass Read               = 0.46
Goalie Talents          = Goalie Fart
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
