Name                    = Thomass Chabott
Number                  = 72
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 171
Shot Power              = 175
Accuracy                = 175
Checking                = 160
Talents                 = Point Sniper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 200, 16, 46
Helmet Color            = 0, 0, 0
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
