Name                    = Bradey Tkachekk
Number                  = 7
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 152
Shot Power              = 187
Accuracy                = 180
Checking                = 191
Talents                 = Enraged, Feed, marauder, Porcelain Hammer, Explosion On Landing
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 200, 16, 46
Helmet Color            = 0, 0, 0
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
