Name                    = Jaake Sandersone
Number                  = 85
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 171
Shot Power              = 171
Accuracy                = 171
Checking                = 163
Talents                 = Tong
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 200, 16, 46
Helmet Color            = 0, 0, 0
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
