Name                    = Timm Stutzell
Number                  = 19
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 180
Shot Power              = 180
Accuracy                = 184
Checking                = 132
Talents                 = Escalating Crit, Glass Cannon, Twig Tax
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 0, 0
Gloves Color            = 200, 16, 46
Helmet Color            = 0, 0, 0
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
