Name                    = Seann Couturrier
Number                  = 14
Face                    = Kilmore
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 163
Shot Power              = 186
Accuracy                = 186
Checking                = 186
Talents                 = Quick Draw
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 247, 73, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 247, 73, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
