Name                    = Samuell Erssone
Skill                   = 68
Catching                = 74
Glove                   = 74
Blocker                 = 65
Five Hole               = 62
Standing Speed          = 77
Butterfly Speed         = 74
Control                 = 71
Recovery                = 71
Pass Power              = 62
Shot Power              = 56
Poke Check              = 59
Depth                   = 68
Pass Read               = 0.38
Goalie Talents          = Goalie Enraged On Shot
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
