Name                    = Traviss Sanheimm
Number                  = 6
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 181
Shot Power              = 181
Accuracy                = 173
Checking                = 173
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 247, 73, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 247, 73, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
