Name                    = Traviss Koneckey
Number                  = 11
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 209
Shot Power              = 196
Accuracy                = 201
Checking                = 122
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 247, 73, 2
Gloves Color            = 0, 0, 0
Helmet Color            = 247, 73, 2
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
